iter	RMSE
0	3080877.547
1	3011855.596
2	2945181.239
3	2885721.268
4	2824147.123
5	2762846.359
6	2713718.662
7	2650061.945
8	2599685.971
9	2543487.224
10	2495016.541
11	2452020.859
12	2407147.441
13	2363518.694
14	2320625.005
15	2280789.796
16	2245147.79
17	2205297.354
18	2171986.315
19	2136520.831
20	2103183.174
21	2073848.938
22	2046927.85
23	2020331.909
24	1994728.378
25	1969232.357
26	1945329.01
27	1921364.128
28	1896991.132
29	1873704.01
30	1855040.146
31	1834665.923
32	1813785.185
33	1797308.964
34	1780395.907
35	1765016.875
36	1745584.889
37	1730761.456
38	1716724.583
39	1704923.877
40	1687336.52
41	1671602.592
42	1659916.423
43	1649122.165
44	1638399.827
45	1621842.725
46	1609963.3
47	1599198.702
48	1587596.215
49	1578612.918
50	1566722.877
51	1555642.55
52	1547250.983
53	1538209.488
54	1527465.619
55	1515034.827
56	1506834.627
57	1500449.089
58	1493339.215
59	1485002.885
60	1477909.328
61	1469475.582
62	1459908.868
63	1454680.062
64	1446793.66
65	1440934.188
66	1431529.453
67	1424575.157
68	1418095.51
69	169	1362854.70	1404849.963
71	1396998.282
72	1387924.197
73	1383174.36
74	1375986.999
75	1371197.122
76	1365348.731
77	1362424.405
78	1357609.463
79	1352566.566
80	1346875.631
81	1341356.963
82	1338198.684
83	1332645.685
84	1329008.213
85	1322449.327
86	1319850.47
87	1314263.992
88	1308947.578
89	1304082.836
90	1298308.204
91	1293160.847
92	1288179.169
93	1285412.142
94	1282303.863
95	1280069.17
96	1275863.77
97	1268453.031
98	1264283.997
99	1259600.745
100	1256867.812
101	1252217.275
102	1248853.36
103	1246762.762
104	1244576.423
105	1240581.198
106	1238356.517
107	1233540.635
108	1225811.73
109	1218800.257
110	1214058.819
111	1210372.457
112	1205798.884
113	1201859.582
114	1199026.113
115	1197022.282
116	1193205.641
117	1191364.963
118	1189153.471
119	1184502.827
120	1181019.846
121	1175992.224
122	1174492.076
123	1170676.024
124	1165716.288
125	1161069.48
126	1155999.839
127	1154434.168
128	1148418.045
129	1144684.5
130	1140788.14
131	1138175.324
132	1136487.885
133	1131998.076
134	1129443.27
135	1122330.561
136	1116446.714
137	1113568.635
138	1109903.419
139	1107182.296
140	1103857.966
