iter	Passed	Remaining
0	82	82838
1	96	48374
2	106	35529
3	121	30160
4	138	27482
5	158	26314
6	170	24254
7	186	23116
8	198	21814
9	212	21031
10	223	20135
11	233	19231
12	244	18596
13	256	18068
14	271	17800
15	279	17190
16	294	17047
17	308	16830
18	321	16575
19	338	16607
20	357	16647
21	369	16423
22	379	16131
23	386	15718
24	402	15681
25	414	15516
26	427	15403
27	436	15169
28	448	15009
29	465	15053
30	475	14871
31	485	14696
32	496	14556
33	507	14423
34	517	14269
35	530	14212
36	541	14091
37	552	13985
38	560	13818339	579	13904
40	590	13804
41	607	13865
42	624	13894
43	637	13858
44	648	13755
45	661	13721
46	676	13710
47	685	13600
48	699	13581449	719	13665550	728	13562551	736	13421552	756	13515553	768	13467554	785	13496555	804	13563
56	815	13490
57	827	13445
58	840	13409
59	851	13343
60	859	13230661	867	13127662	886	13178
63	898	13139664	910	13101665	925	13099666	939	13083667	947	12985668	962	1298969	981	13035
770	992	12990
71	1008	13003
72	1017	12917373	1034	12946
74	1044	12887575	1056	12847676	1074	12877777	1087	12858
78	1100	12832
79	1112	12795
80	1127	12791
81	1134	12706
82	1167	12893
83	1180	12875
84	1190	12810
85	1205	12807
86	1223	12841
87	1249	12948
88	1268	12980
89	1279	12939
90	1295	12945
91	1313	12966
92	1323	12906
93	1338	12901
94	1347	12834
95	1360	12813
96	1373	12784
97	1386	12761
98	1400	12743
99	1410	12692
100	1422	12661
101	1438	12667
102	1451	12641
103	1467	12646
104	1480	12621
105	1495	12610
106	1505	12562
107	1515	12514
108	1527	12487
109	1537	124311110	1553	12445
111	1561	123711112	1576	12375
113	1591	12369
114	1605	12357
115	1620	12346
116	1632	12317
117	1645	12298
118	1657	12271
119	1673	12269
120	1687	12259
121	1705	12277
122	1715	12233
123	1727	12207
124	1740	12181
125	1753	12160
126	1766	12139
127	1775	12095
128	1790	12091
129	1798	12039
130	1806	11983
131	1819	11963
132	1828	11916
133	1836	118713134	1848	118413135	1863	11838
136	1876	11822
137	1886	11781
138	1899	11767
139	1912	11750
140	1926	11735
141	1947	11767
142	1956	11722
143	1964	11676
144	1981	11682
145	1992	11657
146	2009	11660
147	2020	11633
148	2038	11643
149	2054	11641
150	2064	11606
151	2072	11561
152	2081	11525
153	2096	11516
154	2110	11504
155	2127	11508
156	2143	11511
157	2154	11481
158	2172	11492
159	2192	11508
160	2203	11484
161	2217	11471
162	2227	11435
163	2245	11446
164	2257	11425
165	2269	11401
166	2277	11360
167	2291	11347
168	2305	11334
169	2324	11346
170	2333	11314
171	2343	11280
172	2363	11298
173	2377	11286
174	2397	11302
175	2411	11289
176	2425	11278
177	2437	11254
178	2447	11227
179	2460	11207
180	2473	11193
181	2485	11171
182	2493	11133
183	2503	11101
184	2519	11099
185	2529	11070
186	2547	11076
187	2557	11047
188	2566	11011
189	2584	11020
190	2599	11009
191	2620	11025
192	2627	10984
193	2641	10972
194	2663	10994
195	2676	10979
196	2690	10967
197	2702	10946
198	2713	10923
199	2729	10918
200	2741	10896
201	2752	10874
202	2764	10853
203	2787	10877
204	2802	10868
205	2818	10863
206	2828	10835
207	2847	10844
208	2854	10802
209	2866	10784
210	2883	10781
211	2896	10767
212	2913	10763
213	2927	10751
214	2937	10724
215	2949	10707
216	2966	10705
217	2978	10685
218	2993	10674
219	3008	10666
220	3017	10636
221	3030	10618
222	3044	10608
223	3062	10607
224	3074	10589
225	3092	10592
226	3106	10577
227	3125	10582
228	3137	10564
229	3152	10554
230	3167	10545
231	3183	10537
232	3196	10523
233	3212	10514
234	3227	10505
235	3240	10491
236	3254	10478
237	3270	10470
238	3288	10469
239	3302	10459
240	3316	10444
241	3332	10437
242	3352	10443
243	3361	10415
244	3381	10420
245	3400	10422
246	3409	10394
247	3422	10378
248	3439	10372
249	3448	10346
250	3464	10338
251	3486	10349
252	3502	10341
253	3517	10332
254	3534	10325
255	3548	10312
256	3561	10295
257	3574	10280
258	3589	10269
259	3607	10266
260	3618	10245
261	3630	10226
262	3645	10214
263	3659	10203
264	3679	10204
265	3687	10176
266	3703	10167
267	3717	10154
268	3733	10144
269	3749	10138
270	3765	10128
271	3777	10110
272	3792	10098
273	3814	10108
274	3833	10106
275	3846	10089
276	3856	10066
277	3872	10057
278	3887	10046
279	3898	10024
280	3913	10014
281	3929	10005
282	3947	10002
283	3959	9983
284	3977	9977
285	3990	9961
286	4010	9962
287	4026	9955
288	4040	9939
289	4057	9932
290	4067	9908
291	4081	9896
292	4093	9878
293	4113	9878
294	4128	9867
295	4143	9855
296	4156	9838
297	4171	9827
298	4188	9820
299	4205	9812
300	4219	9799
301	4234	9787
302	4251	9780
303	4266	9767
304	4277	9748
305	4285	9719
306	4302	9711
307	4323	9714
308	4335	9696
309	4350	9683
310	4366	9674
311	4378	9655
312	4386	9628
313	4410	9636
314	4427	9629
315	4441	9614
316	4452	9592
317	4470	9586
318	4483	9571
319	4497	9557
320	4515	9551
321	4531	9540
322	4549	9535
323	4560	9514
324	4578	9510
325	4587	9483
326	4601	9470
327	4613	9452
328	4623	9429
329	4634	9409
330	4650	9400
331	4660	9376
332	4669	9352
333	4688	9348
334	4700	9329
335	4708	9305
336	4721	9288
337	4734	9273
338	4742	9246
339	4756	9232
340	4768	9215
341	4777	9191
342	4786	9168
343	4802	9158
344	4817	9146
345	4824	9118
346	4833	9095
347	4841	9070
348	4853	9052
349	4862	9030
350	4877	9017
351	4884	8992
352	4898	8977
353	4913	8965
354	4922	8944
355	4934	8926
356	4946	8908
357	4958	8891
358	4969	8873
359	4982	8858
360	4994	8840
361	5005	8822
362	5018	8805
363	5032	8792
364	5043	8773
365	5054	8755
366	5063	8733
367	5082	8729
368	5093	8709
369	5104	8692
370	5117	8676
371	5128	8657
372	5138	8638
373	5150	8620
374	5161	8601
375	5176	8590
376	5189	8574
377	5200	8557
378	5212	8540
379	5220	8518
380	5237	8509
381	5245	8486
382	5254	8465
383	5274	8460
384	5282	8438
385	5291	8417
386	5305	8403
387	5320	8392
388	5334	8378
389	5346	8362
390	5357	8344
391	5369	8328
392	5383	8315
393	5394	8297
394	5406	8281
395	5422	8270
396	5435	8255
397	5449	8242
398	5460	8225
399	5474	8211
400	5490	8201
401	5505	8189
402	5519	8176
403	5532	8161
404	5542	8142
405	5550	8120
406	5565	8108
407	5575	8090
408	5586	8071
409	5598	8056
410	5609	8039
411	5619	8019
412	5628	7999
413	5637	7980
414	5649	7963
415	5661	7947
416	5673	7932
417	5684	7914
418	5696	7899
419	5715	7893
420	5723	7871
421	5735	7856
422	5747	7840
423	5757	7821
424	5768	7804
425	5779	7787
426	5790	7770
427	5805	7758
428	5814	7738
429	5822	7717
430	5830	7697
431	5845	7685
432	5861	7675
433	5875	7662
434	5886	7645
435	5901	7634
436	5911	7616
437	5922	7599
438	5935	7585
439	5944	7565
440	5953	7546
441	5963	7528
442	5972	7509
443	5981	7490
444	5998	7480
445	6011	7466
446	6021	7449
447	6037	7438
448	6048	7422
449	6062	7409
450	6073	7393
451	6081	7373
452	6097	7362
453	6109	7347
454	6114	7324
455	6126	7309
456	6137	7292
457	6151	7279
458	6169	7271
459	6185	7261
460	6193	7241
461	6204	7225
462	6216	7209
463	6227	7194
464	6240	7179
465	6253	7166
466	6264	7149
467	6275	7133
468	6285	7116
469	6298	7102
470	6315	7093
471	6327	7078
472	6337	7061
473	6354	7051
474	6367	7037
475	6385	7029
476	6401	7018
477	6417	7007
478	6439	7004
479	6456	6994
